"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\pantryDetails\pantryDetails.style.js", "JavaScript", 228, 0, 0, 0, 0, 0, 3, 231
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\pantryList\PantryList.js", "JavaScript", 117, 0, 0, 0, 0, 0, 14, 131
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\pantryList\pantryList.style.js", "JavaScript", 76, 0, 0, 0, 0, 0, 3, 79
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\recipeDetails\RecipeDetails.js", "JavaScript", 269, 0, 0, 0, 0, 2, 27, 298
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\recipeDetails\recipeDetails.style.js", "JavaScript", 267, 0, 0, 0, 0, 0, 3, 270
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\register\Register.js", "JavaScript", 137, 0, 0, 0, 0, 0, 5, 142
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\register\register.style.js", "JavaScript", 85, 0, 0, 0, 0, 0, 4, 89
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\savedRecipes\SavedRecipes.js", "JavaScript", 108, 0, 0, 0, 0, 0, 9, 117
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\savedRecipes\savedRecipes.style.js", "JavaScript", 134, 0, 0, 0, 0, 0, 3, 137
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\search\Search.js", "JavaScript", 106, 0, 0, 0, 0, 1, 9, 116
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\search\search.styles.js", "JavaScript", 164, 0, 0, 0, 0, 0, 3, 167
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\settings\Settings.js", "JavaScript", 122, 0, 0, 0, 0, 0, 10, 132
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\settings\settings.style.js", "JavaScript", 107, 0, 0, 0, 0, 0, 3, 110
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\start\Start.js", "JavaScript", 30, 0, 0, 0, 0, 1, 4, 35
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\start\start.style.js", "JavaScript", 79, 0, 0, 0, 0, 0, 4, 83
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\statistics\Statistic.js", "JavaScript", 148, 0, 0, 0, 0, 0, 8, 156
"c:\Users\viliu\Desktop\recipdo-app (newman)\components\statistics\statistic.style.js", "JavaScript", 117, 0, 0, 0, 0, 0, 3, 120
"c:\Users\viliu\Desktop\recipdo-app (newman)\config\firebase\config.js", "JavaScript", 19, 0, 0, 0, 0, 1, 4, 24
"c:\Users\viliu\Desktop\recipdo-app (newman)\constants\icons.js", "JavaScript", 24, 0, 0, 0, 0, 0, 2, 26
