"filename", "language", "JSON", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMediumSafeFood\RecipeCardMediumSafeFoodList.js", "JavaScript", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMediumSafeFood\recipeCardMediumSafeFood.style.js", "JavaScript", 0, 82, 0, 0, 0, 0, 3, 85
"c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMediumSafeFood\recipeCardMediumSafeFoodList.style.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\RecipeCardMedium.js", "JavaScript", 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\RecipeCardMediumList.js", "JavaScript", 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\recipeCardMedium.style.js", "JavaScript", 0, 75, 0, 0, 0, 0, 3, 78
"c:\Users\viliu\Desktop\recipdo_app\components\common\cards\recipeCardMedium\recipeCardMediumList.style.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\viliu\Desktop\recipdo_app\components\common\dropdown\profileDropdown\ProfileDropdown.js", "JavaScript", 0, 98, 0, 0, 0, 0, 9, 107
"c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\login\Login.js", "JavaScript", 0, 69, 0, 0, 0, 1, 5, 75
"c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\login\login.style.js", "JavaScript", 0, 84, 0, 0, 0, 0, 4, 88
"c:\Users\viliu\Desktop\recipdo_app\components\unauthorizedComponents\register\Register.js", "JavaScript", 0, 137, 0, 0, 0, 0, 5, 142
